"","Team","Pos","Player","G","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV"
"1","TOR","C","Precious Achiuwa",73,9.1,6.5,1.1,0.5,0.6,4.7,0.7,1.2
"2","MEM","C","Steven Adams",76,6.9,10,3.4,0.9,0.8,2.3,1.2,1.5
"3","MIA","C","Bam Adebayo",56,19.1,10.1,3.4,1.4,0.8,5.7,1.5,2.6
"4","MEM","PF","Santi Aldama",32,4.1,2.7,0.7,0.2,0.3,2.4,0.4,0.5
"5","BRK","C","LaMarcus Aldridge",47,12.9,5.5,0.9,0.3,1,4.3,0.3,0.9
"6","TOT","SG","Nickeil Alexander-Walker",65,10.6,2.9,2.4,0.7,0.4,6.6,0.5,1.4
"7","NOP","SG","Nickeil Alexander-Walker",50,12.8,3.3,2.8,0.8,0.4,7.9,0.5,1.7
"8","UTA","SG","Nickeil Alexander-Walker",15,3.5,1.5,1.1,0.3,0.3,2.1,0.1,0.5
"9","MIL","SG","Grayson Allen",66,11.1,3.4,1.5,0.7,0.3,4.7,0.1,0.7
"10","CLE","C","Jarrett Allen",56,16.1,10.8,1.6,0.8,1.3,3.1,1.3,1.7
"11","NOP","PG","Jose Alvarado",54,6.1,1.9,2.8,1.3,0.1,3,0.3,0.7
"12","TOT","SF","Justin Anderson",16,6.4,2.9,2.1,0.5,0.4,3.6,0.3,0.5
"13","CLE","SF","Justin Anderson",3,4.3,2,2,0.3,0,1.4,0.3,0.7
"14","IND","SF","Justin Anderson",13,6.8,3.1,2.1,0.5,0.5,4.2,0.3,0.5
"15","MEM","PF","Kyle Anderson",69,7.6,5.3,2.7,1.1,0.7,3.8,0.5,1
"16","MIL","PF","Giannis Antetokounmpo",67,29.9,11.6,5.8,1.1,1.4,8.3,3.1,3.3
"17","MIL","SF","Thanasis Antetokounmpo",48,3.6,2.1,0.5,0.3,0.3,1.2,0.4,0.5
"18","LAL","PF","Carmelo Anthony",69,13.3,4.2,1,0.7,0.8,5.9,0.4,0.9
"19","ORL","PG","Cole Anthony",65,16.3,5.4,5.7,0.7,0.3,8.5,0.6,2.6
"20","TOR","SF","OG Anunoby",48,17.1,5.5,2.6,1.5,0.5,8.1,0.6,1.7
"21","NYK","PG","Ryan Arcidiacono",10,1.6,0.8,0.4,0.1,0,0.6,0,0.3
"22","LAL","SF","Trevor Ariza",24,4,3.4,1.1,0.5,0.3,2.7,0.4,0.5
"23","TOT","PG","D.J. Augustin",55,5.3,1.2,1.9,0.3,0,2.3,0.1,1
"24","HOU","PG","D.J. Augustin",34,5.4,1.2,2.2,0.3,0,2.4,0.1,1.3
"25","LAL","PG","D.J. Augustin",21,5.3,1.3,1.6,0.3,0,2.2,0,0.5
"26","WAS","SF","Deni Avdija",82,8.4,5.2,2,0.7,0.5,4.1,0.4,1.1
"27","WAS","SG","Joel Ayayi",7,0.3,0.4,0.6,0,0,0.8,0,0
"28","PHO","C","Deandre Ayton",58,17.2,10.2,1.4,0.7,0.7,4.4,0.6,1.6
"29","UTA","C","Udoka Azubuike",17,4.7,4.2,0,0.1,0.6,0.7,0.2,0.7
"30","TOT","PF","Marvin Bagley III",48,11.3,7,0.8,0.5,0.4,4.6,0.7,0.8
"31","SAC","PF","Marvin Bagley III",30,9.3,7.2,0.6,0.3,0.4,4.4,0.4,0.7
"32","DET","PF","Marvin Bagley III",18,14.6,6.8,1.1,0.7,0.4,4.9,1.2,1
"33","CHO","PG","LaMelo Ball",75,20.1,6.7,7.6,1.6,0.4,9.5,0.4,3.3
"34","CHI","PG","Lonzo Ball",35,13,5.4,5.1,1.8,0.9,6.3,0.2,2.3
"35","ORL","C","Mo Bamba",71,10.6,8.1,1.2,0.5,1.7,4.5,0.2,1.1
"36","MEM","SF","Desmond Bane",76,18.2,4.4,2.7,1.2,0.4,7.8,0.2,1.5
"37","TOR","SF","Dalano Banton",64,3.2,1.9,1.5,0.4,0.2,1.9,0.3,0.8
"38","ATL","PG","Cat Barber",3,0,1,1,0,0,1.3,1.3,0.3
"39","SAC","PF","Harrison Barnes",77,16.4,5.6,2.4,0.7,0.2,5.7,1,1.5
"40","TOR","PF","Scottie Barnes",74,15.3,7.5,3.5,1.1,0.7,6.4,0.8,1.8
"41","NYK","SF","RJ Barrett",70,20,5.8,3,0.6,0.2,10.1,1.7,2.2
"42","DEN","SG","Will Barton",71,14.7,4.8,3.9,0.8,0.4,7.1,0.4,1.8
"43","PHO","SF","Paris Bass",2,3,2,0,0.5,0,2,0,1
"44","PHI","PF","Charles Bassey",23,3,2.7,0.3,0.2,0.7,0.7,0.1,0.3
"45","SAS","SF","Keita Bates-Diop",59,5.7,3.9,0.7,0.5,0.2,2.2,0.2,0.8
"46","LAC","PF","Nicolas Batum",59,8.3,4.3,1.7,1,0.7,3.6,0.2,0.7
"47","LAL","SF","Kent Bazemore",39,3.4,1.8,0.9,0.6,0.2,2.4,0.1,0.5
"48","OKC","PF","Darius Bazley",69,10.8,6.3,1.4,0.8,1,5.4,0.8,1.3
"49","WAS","SG","Bradley Beal",40,23.2,4.7,6.6,0.9,0.4,10.6,0.899999999999999,3.4
"50","MIN","SG","Malik Beasley",79,12.1,2.9,1.5,0.5,0.2,6.6,0.2,0.5
"51","CHI","C","Jordan Bell",1,0,1,0,1,0,0,0,0
"52","TOT","SF","DeAndre' Bembry",56,5.1,2.9,1.2,0.9,0.4,1.7,0.2,0.6
"53","BRK","SF","DeAndre' Bembry",48,5.8,3.2,1.3,1,0.5,1.9,0.3,0.6
"54","MIL","SF","DeAndre' Bembry",8,0.8,1.4,0.8,0.3,0,0.6,0,0.1
"55","TOT","PF","D?vis Bert?ns",56,5.6,2.1,0.6,0.3,0.2,3.1,0.1,0.3
"56","WAS","PF","D?vis Bert?ns",34,5.7,1.8,0.5,0.3,0.2,3.2,0.1,0.4
"57","DAL","PF","D?vis Bert?ns",22,5.3,2.5,0.7,0.3,0.3,2.9,0.1,0.2
"58","MIN","PG","Patrick Beverley",58,9.2,4.1,4.6,1.2,0.9,4.4,0.6,1.3
"59","DET","SF","Saddiq Bey",82,16.1,5.4,2.8,0.9,0.2,8.4,0.5,1.2
"60","TOR","C","Khem Birch",55,4.5,4.3,1,0.5,0.5,1.8,0.3,0.5
"61","IND","C","Goga Bitadze",50,7,3.5,1.1,0.4,0.8,2.4,0.6,0.9
"62","PHO","C","Bismack Biyombo",36,5.8,4.6,0.6,0.3,0.7,1.6,0.9,0.7
"63","GSW","C","Nemanja Bjelica",71,6.1,4.1,2.2,0.6,0.4,2.5,0.3,1.2
"64","LAC","PG","Eric Bledsoe",54,9.9,3.4,4.2,1.3,0.4,5.1,0.6,2.1
"65","POR","SF","Keljin Blevins",31,3.1,1.5,0.6,0.4,0,2.5,0.2,0.5
"66","ATL","SG","Bogdan Bogdanovi?",63,15.1,4,3.1,1.1,0.2,7.2,0.3,1.1
"67","UTA","PF","Bojan Bogdanovi?",69,18.1,4.3,1.7,0.5,0,7.3,0.6,1.7
"68","DEN","PF","Bol Bol",14,2.4,1.4,0.4,0.1,0.1,0.8,0.3,0.3
"69","MIN","SF","Leandro Bolmaro",35,1.4,1.2,0.6,0.2,0,1,0.1,0.4
"70","TOR","SF","Isaac Bonga",15,0.8,0.5,0.3,0.5,0.1,0.7,0.2,0.1
"71","PHO","SG","Devin Booker",68,26.8,5,4.8,1.1,0.4,11.2,0.7,2.4
"72","LAC","SG","Brandon Boston Jr.",51,6.7,2.2,1,0.5,0.3,3.9,0.2,0.6
"73","TOR","PF","Chris Boucher",80,9.4,6.2,0.3,0.6,0.9,3.8,0.5,0.5
"74","CHO","SG","James Bouknight",31,4.6,1.7,0.8,0.2,0,2.9,0.1,0.5
"75","LAL","SG","Avery Bradley",62,6.4,2.2,0.8,0.9,0.1,3.2,0,0.6
"76","CHI","C","Tony Bradley",55,3,3.4,0.5,0.2,0.6,0.9,0.2,0.6
"77","ORL","SF","Ignas Brazdeikis",42,5,1.7,0.9,0.2,0.1,2.6,0.3,0.4
"78","PHO","SF","Mikal Bridges",82,14.2,4.2,2.3,1.2,0.4,4.9,0.3,0.8
"79","CHO","PF","Miles Bridges",80,20.2,7,3.8,0.9,0.8,7.7,0.9,1.9
"80","IND","SF","Oshae Brissett",67,9.1,5.3,1.1,0.7,0.4,4.5,0.7,0.8
"81","IND","PG","Malcolm Brogdon",36,19.1,5.1,5.9,0.8,0.4,8.3,0.6,2.1
"82","TOT","SG-PG","Armoni Brooks",54,5.3,1.9,1.1,0.5,0.2,3.6,0.1,0.5
"83","HOU","SG","Armoni Brooks",41,6.2,2,1.2,0.5,0.2,4,0.1,0.6
"84","TOR","PG","Armoni Brooks",13,2.6,1.7,1,0.5,0.2,2.1,0,0.3
"85","MEM","SF","Dillon Brooks",32,18.4,3.2,2.8,1.1,0.3,9.3,0.5,1.6
"86","BRK","SF","Bruce Brown",72,9,4.8,2.1,1.1,0.7,3.4,0.5,0.8
"87","TOT","SG","Charlie Brown Jr.",22,1.4,1.5,0.3,0.5,0.2,1.3,0.1,0.2
"88","DAL","SG","Charlie Brown Jr.",3,0.7,0.3,0.3,0.7,0.3,1.4,0,0
"89","PHI","SG","Charlie Brown Jr.",19,1.5,1.6,0.3,0.4,0.2,1.3,0,0.3
"90","TOT","SG-SF","Chaundee Brown Jr.",5,6.2,3.2,0.8,0.4,0,4.4,0.2,0.2
"91","LAL","SF","Chaundee Brown Jr.",2,1,1,0,0,0,3,0,0.5
"92","ATL","SG","Chaundee Brown Jr.",3,9.7,4.7,1.3,0.7,0,5.3,0.3,0
"93","POR","SF","Greg Brown III",48,4.7,2.8,0.7,0.5,0.5,2.3,0.5,0.8
"94","BOS","SF","Jaylen Brown",66,23.6,6.1,3.5,1.1,0.3,9.7,1.1,2.7
"95","TOT","C","Moses Brown",40,4.3,3.4,0,0.2,0.4,1.1,0.7,0.5
"96","DAL","C","Moses Brown",26,3.1,2.3,0,0.1,0.3,0.9,0.7,0.5
"97","CLE","C","Moses Brown",14,6.4,5.3,0,0.3,0.5,1.5,1,0.4
"98","DAL","SG","Sterling Brown",49,3.3,3,0.7,0.3,0.1,2,0,0.5
"99","CHI","SF","Troy Brown Jr.",66,4.3,3.1,1,0.5,0.1,2.3,0.1,0.4
"100","DAL","PG","Jalen Brunson",79,16.3,3.9,4.8,0.8,0,6.4,0.4,1.6
"101","WAS","C","Thomas Bryant",27,7.4,4,0.9,0.2,0.8,2.6,0.2,0.7
"102","MEM","PG","Shaq Buchanan",2,1,1,1,0.5,0,1.5,0,1
"103","DAL","SF","Reggie Bullock",68,8.6,3.5,1.2,0.6,0.2,4.4,0.1,0.6
"104","DAL","PG","Trey Burke",42,5.1,0.8,1.4,0.3,0,3.1,0,0.6
"105","NYK","SG","Alec Burks",81,11.7,4.9,3,1,0.3,5.5,0.6,1.1
"106","UTA","SG","Jared Butler",42,3.8,1.1,1.5,0.4,0.2,2.1,0.1,0.8
"107","MIA","SF","Jimmy Butler",57,21.4,5.9,5.5,1.6,0.5,7.5,1.1,2.1
"108","SAS","PF","Devontae Cacok",15,3.1,2.8,0.4,0.5,0.5,0.7,0.2,0.2
"109","WAS","SG","Kentavious Caldwell-Pope",77,13.2,3.4,1.9,1.1,0.3,6.1,0.2,1.3
"110","DEN","PG","Facundo Campazzo",65,5.1,1.8,3.4,1,0.4,3,0.3,1
"111","DEN","PF","Vlatko ?an?ar",15,4.1,2.1,1.1,0.1,0.2,1.2,0.3,0.6
"112","ORL","PG","Devin Cannady",5,10,1.2,2,1,0.6,5.8,0.4,1
"113","ATL","C","Clint Capela",74,11.1,11.9,1.2,0.7,1.3,3.2,1.2,0.6
"114","TOT","C","Vernon Carey Jr.",7,2.9,1.7,0,0.3,0.1,0.9,1,0.4
"115","CHO","C","Vernon Carey Jr.",4,2,1.3,0,0.3,0,0.7,0.3,0.3
"116","WAS","C","Vernon Carey Jr.",3,4,2.3,0,0.3,0.3,1,2,0.7
"117","TOT","PG","Jevon Carter",66,4.2,1.7,1.5,0.4,0.2,2.3,0.1,0.5
"118","BRK","PG","Jevon Carter",46,3.6,1.5,1,0.3,0.2,2.5,0,0.6
"119","MIL","PG","Jevon Carter",20,5.6,2.2,2.5,0.5,0.2,2,0,0.4
"120","ORL","C","Wendell Carter Jr.",62,15,10.5,2.8,0.6,0.7,5.2,1,1.9
"121","CHI","SG","Alex Caruso",41,7.4,3.6,4,1.7,0.4,3.7,0.4,1.4
"122","TOT","C","Willie Cauley-Stein",20,1.7,2,0.5,0.3,0.2,1,0,0.4
"123","DAL","C","Willie Cauley-Stein",18,1.9,2.1,0.5,0.3,0.2,1,0,0.4
"124","PHI","C","Willie Cauley-Stein",2,0,1,0.5,0,0,0,0,0
"125","IND","PG","Ahmad Caver",1,2,0,0,0,0,0,0,0
"126","TOR","SF","Justin Champagnie",36,2.3,2,0.3,0.2,0.1,1,0,0.2
"127","UTA","SF","Zylan Cheatham",1,0,0,0,0,0,3,0,0
"128","GSW","PG","Chris Chiozza",34,2,1.1,1.9,0.4,0,1.7,0,0.9
"129","DAL","PF","Marquese Chriss",34,4.5,3,0.5,0.4,0.4,2.1,0.4,0.5
"130","HOU","SG","Josh Christopher",74,7.9,2.5,2,0.9,0.2,3.8,0.4,1.5
"131","NOP","PF","Gary Clark",38,2.7,2.4,0.5,0.3,0.2,1.4,0.1,0.3
"132","MEM","PF","Brandon Clarke",64,10.4,5.3,1.3,0.6,1.1,2.5,0.7,0.5
"133","UTA","SG","Jordan Clarkson",79,16,3.5,2.5,0.8,0.2,8.2,0.4,1.6
"134","BRK","C","Nic Claxton",47,8.7,5.6,0.9,0.5,1.1,1.8,0.9,0.8
"135","LAC","SG","Amir Coffey",69,9,2.9,1.8,0.6,0.2,3.7,0.2,0.7
"136","ATL","PF","John Collins",54,16.2,7.8,1.8,0.6,1,5.6,0.6,1.1
"137","SAS","PF","Zach Collins",28,7.8,5.5,2.2,0.5,0.8,2.8,0.4,1.6
"138","LAL","PG","Darren Collison",3,1.3,1.3,0.7,0.3,0,1.6,0,0.3
"139","UTA","PG","Mike Conley",72,13.7,3,5.3,1.3,0.3,6.2,0.5,1.7
"140","MIL","SG","Pat Connaughton",65,9.9,4.2,1.3,0.9,0.2,4.1,0.1,0.5
"141","CHI","PF","Tyler Cook",20,3.4,2.7,0.2,0.2,0.2,0.7,0.5,0.4
"142","ATL","PG","Sharife Cooper",13,0.5,0.4,0.4,0,0,0.9,0,0.4
"143","DEN","PF","Petr Cornelie",13,1.1,1.1,0.2,0.1,0.1,0.8,0.1,0.3
"144","TOT","C","DeMarcus Cousins",48,9,5.6,1.5,0.7,0.4,3.7,0.6,1.8
"145","MIL","C","DeMarcus Cousins",17,9.1,5.8,1.1,0.9,0.5,3.7,0.4,0.9
"146","DEN","C","DeMarcus Cousins",31,8.9,5.5,1.7,0.6,0.4,3.6,0.7,2.2
"147","TOT","PF-SF","Robert Covington",71,8.5,5.5,1.3,1.5,1.3,4.1,0.2,1.1
"148","POR","PF","Robert Covington",48,7.6,5.7,1.4,1.5,1.3,4.3,0.2,1.2
"149","LAC","SF","Robert Covington",23,10.4,5.1,1,1.3,1.2,3.5,0.2,0.7
"150","TOT","SF","Torrey Craig",78,6.6,4,1.2,0.6,0.5,3.1,0.2,0.9
"151","IND","SF","Torrey Craig",51,6.5,3.8,1.1,0.5,0.4,3,0.2,0.8
"152","PHO","SF","Torrey Craig",27,6.9,4.3,1.2,0.8,0.6,3.2,0.2,1
"153","PHO","PF","Jae Crowder",67,9.4,5.3,1.9,1.4,0.4,4.9,0.2,0.8
"154","MEM","SG","Jarrett Culver",37,3.5,1.3,0.9,0.5,0.1,2.2,0.5,0.5
"155","POR","SG","Jarron Cumberland",3,0.7,1,0.3,0,0,0.4,0,0
"156","DET","PG","Cade Cunningham",64,17.4,5.5,5.6,1.2,0.7,9.4,0.4,3.7
"157","TOT","SG","Seth Curry",64,15,3.1,3.6,0.8,0.2,5.9,0.2,1.7
"158","PHI","SG","Seth Curry",45,15,3.4,4,0.8,0.2,6,0.2,1.9
"159","BRK","SG","Seth Curry",19,14.9,2.6,2.6,0.9,0.2,5.6,0.2,1.3
"160","GSW","PG","Stephen Curry",64,25.5,5.2,6.3,1.3,0.4,10.7,0.4,3.2
"161","LAL","C","Anthony Davis",40,23.2,9.9,3.1,1.2,2.3,8.1,1.7,2.1
"162","CLE","C","Ed Davis",31,0.9,2.1,0.2,0.1,0.3,0.1,0.3,0.2
"163","SAC","SG","Terence Davis",30,10.4,3.1,1.3,0.8,0.4,5.1,0.3,1.1
"164","OKC","PF","Gabriel Deck",7,2.6,0.9,0.7,0.1,0,0.9,0,0.3
"165","MIA","C","Dewayne Dedmon",67,6.3,5.8,0.7,0.4,0.6,1.9,0.4,1
"166","TOR","PF","Sam Dekker",1,0,0,0,0,0,0,0,0
"167","MIL","C","Javin DeLaurier",1,0,1,0,1,0,0,0,0
"168","CHI","PF","DeMar DeRozan",76,27.9,5.2,4.9,0.9,0.3,10,1,2.4
"169","OKC","PF","Mamadi Diakite",13,4.3,4.5,0.2,0.4,0.7,1.7,0.3,0.5
"170","DET","C","Cheick Diallo",3,3.7,4,0,0.3,0,1.7,0.3,0.3
"171","DET","SG","Hamidou Diallo",58,11,4.8,1.3,1.2,0.3,4.6,0.8,1
"172","ATL","C","Gorgui Dieng",44,3.5,2.8,0.8,0.3,0.3,1.3,0.2,0.5
"173","TOT","PG","Spencer Dinwiddie",67,13.7,4.2,5.2,0.7,0.2,6.4,0.9,1.6
"174","WAS","PG","Spencer Dinwiddie",44,12.6,4.7,5.8,0.6,0.2,7,0.7,1.7
"175","DAL","PG","Spencer Dinwiddie",23,15.8,3.1,3.9,0.7,0.3,5.3,1.3,1.3
"176","TOT","SG","Donte DiVincenzo",42,9,4,2.8,1.1,0.2,5.2,0.3,1.7
"177","MIL","SG","Donte DiVincenzo",17,7.2,3.5,1.7,0.6,0.2,4.6,0.2,1.6
"178","SAC","SG","Donte DiVincenzo",25,10.3,4.4,3.6,1.5,0.2,5.5,0.3,1.8
"179","DAL","PG","Luka Don?i?",65,28.4,9.1,8.7,1.2,0.6,11.7,1.9,4.5
"180","OKC","SF","Luguentz Dort",51,17.2,4.2,1.7,0.9,0.4,8.5,0.5,1.7
"181","CHI","SG","Ayo Dosunmu",77,8.8,2.8,3.3,0.8,0.4,3.3,0.3,1.4
"182","NYK","SG","Damyean Dotson",2,2,1,0.5,0,0,1,0,0
"183","CHI","PG","Devon Dotson",11,2.6,0.8,1.4,0.1,0,1.1,0.3,0.5
"184","LAL","PF","Sekou Doumbouya",2,7,3,0,1.5,1,1.5,0.5,1
"185","TOT","PG","Jeff Dowtin",9,2.1,2,1.1,0.6,0.1,2,0,0.6
"186","GSW","PG","Jeff Dowtin",4,1.5,1.8,0.8,0,0.3,0.7,0,0.3
"187","MIL","PG","Jeff Dowtin",1,0,0,0,0,0,1,0,0
"188","ORL","PG","Jeff Dowtin",4,3.3,2.8,1.8,1.3,0,3.5,0,1
"189","DEN","SG","PJ Dozier",18,5.4,3.5,1.6,0.6,0.3,3.5,0.1,0.7
"190","TOT","PG","Goran Dragi?",21,7.5,3.1,4.1,0.9,0.2,4.5,0.3,1.6
"191","TOR","PG","Goran Dragi?",5,8,2.8,1.8,1,0.2,4.2,0,0.2
"192","BRK","PG","Goran Dragi?",16,7.3,3.2,4.8,0.9,0.2,4.5,0.3,2.1
"193","TOT","C","Andre Drummond",73,7.9,9.3,1.8,1.1,0.9,2.5,1,1.6
"194","PHI","C","Andre Drummond",49,6.1,8.8,2,1.1,0.9,2.3,0.8,1.6
"195","BRK","C","Andre Drummond",24,11.8,10.3,1.4,0.9,1,3.1,1.6,1.5
"196","IND","SG","Chris Duarte",55,13.1,4.1,2.1,1,0.2,6.4,0.4,1.6
"197","BRK","PG","David Duke Jr.",22,4.7,3,0.8,0.6,0.3,3.1,0.2,0.4
"198","POR","PG","Kris Dunn",14,7.6,3.5,5.6,1.6,0.2,4.2,0.1,2.3
"199","BRK","PF","Kevin Durant",55,29.9,7.4,6.4,0.9,0.9,9.8,0.600000000000001,3.5
"200","WAS","C","Jaime Echenique",1,0,0,0,0,0,0,0,0
"201","MIN","SG","Anthony Edwards",72,21.3,4.8,3.8,1.5,0.6,9.7,0.8,2.6
"202","DET","SG","Carsen Edwards",4,5.8,1.5,3.5,0.5,0,5.2,0,1.3
"203","BRK","SF","Kessler Edwards",48,5.9,3.6,0.6,0.6,0.5,3.3,0.1,0.9
"204","OKC","SG","Rob Edwards",2,1.5,1.5,0,0,0,1.5,0,0.5
"205","POR","SF","CJ Elleby",58,5.8,3.9,1.5,0.6,0.3,3.2,0.4,1
"206","LAL","SG","Wayne Ellington",43,6.7,1.8,0.7,0.5,0.1,3.2,0.1,0.4
"207","PHI","C","Joel Embiid",68,30.6,11.7,4.2,1.1,1.5,9.8,2.2,3.1
"208","TOT","SF","James Ennis III",7,4.1,1.7,0.4,0.3,0.3,1.8,0.1,0.3
"209","BRK","SF","James Ennis III",2,2.5,2.5,0,0.5,0.5,2.5,0,0
"210","LAC","SF","James Ennis III",2,10,2.5,0,0.5,0.5,2,0,0.5
"211","DEN","SF","James Ennis III",3,1.3,0.7,1,0,0,1.3,0.3,0.3
"212","TOT","C","Drew Eubanks",71,7.7,5.4,1.2,0.4,0.6,2.1,0.4,1.1
"213","SAS","C","Drew Eubanks",49,4.7,4,1,0.3,0.6,1.5,0.4,0.9
"214","POR","C","Drew Eubanks",22,14.5,8.5,1.6,0.8,0.5,3.4,0.5,1.6
"215","CLE","C","Tacko Fall",11,1.1,2.1,0.2,0,0.5,0.6,0.4,0.3
"216","OKC","C","Derrick Favors",39,5.3,4.7,0.6,0.4,0.3,2.3,0.2,0.2
"217","TOT","C","Bruno Fernando",30,2.9,1.8,0.2,0,0.4,0.6,0.3,0.5
"218","BOS","C","Bruno Fernando",20,1,0.8,0.2,0,0.2,0.3,0.1,0.3
"219","HOU","C","Bruno Fernando",10,6.9,4,0.3,0.1,0.8,1.2,0.8,0.9
"220","DAL","PF","Dorian Finney-Smith",80,11,4.7,1.9,1.1,0.5,4.6,0.3,1
"221","TOT","PF","Malik Fitts",15,1.4,1.1,0.3,0,0,0.8,0,0.1
"222","UTA","PF","Malik Fitts",7,0.9,1.4,0,0,0,1,0,0.3
"223","BOS","PF","Malik Fitts",8,1.9,0.9,0.6,0,0,0.5,0,0
"224","TOR","PG","Malachi Flynn",44,4.3,1.4,1.6,0.5,0.1,2.6,0.2,0.3
"225","TOT","SG","Bryn Forbes",75,8.8,1.2,1,0.3,0.1,4.1,0.0999999999999999,0.7
"226","SAS","SG","Bryn Forbes",40,9.1,1.6,1,0.4,0.1,4.2,0.0999999999999999,0.8
"227","DEN","SG","Bryn Forbes",35,8.6,0.9,1,0.2,0.1,4,0.1,0.7
"228","ORL","SF","Aleem Ford",5,2.8,3,0.4,0.2,0,2.8,0,0.8
"229","UTA","PG","Trent Forrest",60,3.3,1.7,1.8,0.5,0.1,1.3,0.2,0.8
"230","NYK","SG","Evan Fournier",80,14.1,2.6,2.1,1,0.3,7.1,0.4,1.3
"231","SAC","PG","De'Aaron Fox",59,23.2,3.9,5.6,1.2,0.4,9.8,1.5,2.8
"232","OKC","SG","Melvin Frazier",3,10.7,4.3,0.3,0.3,0,11.7,0.6,1
"233","TOT","PG","Tim Frazier",12,3.3,1.6,2.8,0.3,0.1,2.6,0.4,1.3
"234","ORL","PG","Tim Frazier",10,3.7,1.9,3.3,0.3,0.1,3,0.4,1.3
"235","CLE","PG","Tim Frazier",2,1,0,0.5,0,0,0.5,0,1
"236","BOS","C","Enes Freedom",35,3.7,4.6,0.2,0.1,0.4,1.3,0.1,0.6
"237","ORL","PG","Markelle Fultz",18,10.8,2.7,5.5,1.1,0.3,5.1,0.3,2.2
"238","TOT","PF","Wenyen Gabriel",26,5.4,3.7,0.5,0.2,0.4,2.1,0.6,0.6
"239","BRK","PF","Wenyen Gabriel",1,0,1,0,0,0,0,0,0
"240","LAC","PF","Wenyen Gabriel",6,2.3,2.3,0.3,0.2,0.3,1.4,0.4,0.5
"241","LAL","PF","Wenyen Gabriel",19,6.7,4.3,0.6,0.2,0.5,2.5,0.8,0.7
"242","WAS","C","Daniel Gafford",72,9.4,5.7,0.9,0.4,1.4,1.7,0.6,0.9
"243","ATL","PF","Danilo Gallinari",66,11.7,4.7,1.5,0.4,0.2,5.1,0.3,0.6
"244","TOT","SG","Langston Galloway",7,2,2.6,1.7,0.1,0,2.8,0,0.9
"245","BRK","SG","Langston Galloway",4,3,2,1.3,0,0,2,0,1.3
"246","MIL","SG","Langston Galloway",3,0.7,3.3,2.3,0.3,0,4,0,0.3
"247","CLE","PG","Darius Garland",68,21.7,3.3,8.6,1.3,0.1,9.3,0.3,3.6
"248","MIA","SG","Marcus Garrett",12,1.1,1.9,0.6,0.4,0.3,1.4,0.2,0.2
"249","HOU","PF","Usman Garuba",24,2,3.5,0.7,0.4,0.5,1,0.1,0.3
"250","DET","C","Luka Garza",32,5.8,3.1,0.6,0.3,0.2,2.5,0.7,0.6
"251","UTA","PF","Rudy Gay",55,8.1,4.4,1,0.5,0.3,4,0.3,0.9
"252","LAC","SF","Paul George",31,24.3,6.9,5.7,2.2,0.4,11.9,0.7,4.1
"253","NYK","C","Taj Gibson",52,4.4,4.4,0.6,0.4,0.8,1.5,0.2,0.5
"254","OKC","SG","Josh Giddey",54,12.5,7.8,6.4,0.9,0.4,7.2,0.5,3.2
"255","OKC","PG","Shai Gilgeous-Alexander",56,24.5,5,5.9,1.3,0.8,10.3,1.3,2.8
"256","WAS","PF","Anthony Gill",44,4.1,1.9,0.6,0.1,0.3,1.1,0.2,0.4
"257","ORL","PF","Freddie Gillespie",9,2.3,4,0.6,0.3,1,1.4,0.5,0.6
"258","UTA","C","Rudy Gobert",66,15.6,14.7,1.1,0.7,2.1,2.2,2.1,1.8
"259","CLE","PG","Brandon Goodwin",36,4.8,1.9,2.5,0.7,0,2.5,0.4,1
"260","WAS","SG","Jordan Goodwin",2,0,0.5,0,0,0,1.5,0,0
"261","DEN","PF","Aaron Gordon",75,15,5.9,2.5,0.6,0.6,5.3,0.8,1.8
"262","HOU","SG","Eric Gordon",57,13.4,2,2.7,0.5,0.3,5.2,0.6,1.9
"263","NOP","PG","Devonte' Graham",76,11.9,2.3,4.2,0.9,0.2,6.8,0.2,1.4
"264","DET","PF","Jerami Grant",47,19.2,4.1,2.4,0.9,1,8.6,0.9,1.8
"265","ORL","PG","Hassani Gravett",8,6.3,2.6,2.5,0.6,0.1,2.5,0.1,1.1
"266","PHI","SF","Danny Green",62,5.9,2.5,1,1,0.6,3.2,0,0.7
"267","GSW","PF","Draymond Green",46,7.5,7.3,7,1.3,1.1,2.7,0.7,3
