"","Team","Pos","Player","G","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV"
"350","DEN","PG","Bones Hyland",69,10.1,2.7,2.8,0.6,0.3,5,0.2,1.2
"351","TOT","C-PF","Serge Ibaka",54,6.8,4.6,0.9,0.2,0.6,2.8,0.2,0.8
"352","LAC","C","Serge Ibaka",35,6.6,4.3,1,0.2,0.7,2.8,0.2,0.9
"353","MIL","PF","Serge Ibaka",19,7,5.3,0.7,0.2,0.4,2.7,0.2,0.5
"354","GSW","SF","Andre Iguodala",31,4,3.2,3.7,0.9,0.7,2.4,0.1,0.9
"355","UTA","SF","Joe Ingles",45,7.2,2.9,3.5,0.5,0.1,3.7,0.1,1
"356","NOP","SF","Brandon Ingram",55,22.7,5.8,5.6,0.6,0.5,9.7,1.1,2.7
"357","BRK","PG","Kyrie Irving",29,27.4,4.4,5.8,1.4,0.6,11.2,0.300000000000001,2.5
"358","ATL","SF","Wes Iwundu",3,7.3,4.3,0,0.3,0,3.3,0.3,0.3
"359","DET","PG","Frank Jackson",53,10.6,1.6,1,0.5,0.2,5.4,0.4,0.7
"360","IND","PF","Isaiah Jackson",36,8.3,4.1,0.3,0.7,1.4,2.5,0.7,1.1
"361","MEM","PF","Jaren Jackson Jr.",78,16.3,5.8,1.1,0.9,2.3,7.8,0.8,1.7
"362","TOT","SF","Josh Jackson",51,6.4,2.8,1.1,0.5,0.4,3.5,0.4,0.9
"363","DET","SF","Josh Jackson",39,7.1,3.2,1.3,0.5,0.5,3.8,0.4,1
"364","SAC","SF","Josh Jackson",12,4.3,1.5,0.4,0.4,0.3,2.7,0.5,0.8
"365","TOT","SF","Justin Jackson",7,2.1,1,0.3,0,0,1.4,0,0.1
"366","BOS","SF","Justin Jackson",1,2,0,0,0,0,1,0,0
"367","PHO","SF","Justin Jackson",6,2.2,1.2,0.3,0,0,1.5,0,0.2
"368","LAC","SG","Reggie Jackson",75,16.8,3.6,4.8,0.7,0.2,9.9,0.4,2.3
"369","LAL","SF","LeBron James",56,30.3,8.2,6.2,1.3,1.1,10.4,1.5,3.5
"370","IND","SG","DeJon Jarreau",1,0,0,0,0,0,0,0,0
"371","MEM","SG","DaQuan Jeffries",3,0.7,0.7,0.3,0,0,0.4,0,0
"372","OKC","SG","Ty Jerome",48,7.1,1.6,2.3,0.6,0.1,4.2,0.2,0.8
"373","PHI","SG","Isaiah Joe",55,3.6,1,0.6,0.3,0.1,2.1,0.1,0.3
"374","TOT","PF","Alize Johnson",23,1.8,2.7,0.4,0.2,0,1,0.2,0.5
"375","CHI","PF","Alize Johnson",16,1.8,2.3,0.5,0.2,0,0.6,0.1,0.5
"376","WAS","PF","Alize Johnson",3,1.3,4,0,0,0,1.3,0.3,1
"377","NOP","PF","Alize Johnson",4,2.3,3.3,0.3,0.5,0,1.7,0.2,0.3
